Carrera;Edad;Trabajo;Beca;Genero;EstadoCivil;CantidadHijos;Prom_cAplazo;A/P;Desemp1R;Desemp2N;Desemp3RN
CPN;25;N;N;M;Soltero;0;6,8;4,71;1;0;1
LA;24;S;N;F;Soltero;0;5,73;4,33;1;0;0
CPN;24;S;N;F;Soltero;0;5,96;1,86;0;0;0
CPN;24;S;N;M;Soltero;0;6,38;3,14;0;0;0
LA;25;N;N;F;Soltero;0;6,08;3,29;0;0;0
CPN;24;N;N;F;Soltero;0;7,61;3,00;0;1;0
CPN;25;N;N;F;Soltero;0;6,77;4,57;1;0;1
CPN;25;N;N;F;Soltero;0;7;4,71;1;1;1
CPN;24;S;N;F;Soltero;0;7,58;4,71;1;1;1
CPN;25;S;N;F;Soltero;0;6,78;3,71;0;0;0
CPN;24;N;N;M;Soltero;0;6,19;3,00;0;0;0
CPN;24;N;N;F;Soltero;0;6,33;4,71;1;0;1
CPN;26;S;N;M;Soltero;0;6,46;2,71;0;0;0
CPN;24;N;N;M;Soltero;0;5,69;2,86;0;0;0
CPN;25;S;N;M;Soltero;0;6,11;3,14;0;0;0
CPN;25;N;N;F;Soltero;0;7,95;5,14;1;1;1
CPN;25;N;N;F;Soltero;0;6,14;2,71;0;0;0
CPN;47;S;N;M;Casado;0;8,16;2,43;0;1;0
CPN;25;N;N;F;Soltero;0;7,17;2,57;0;1;0
CPN;26;N;N;F;Soltero;0;5,96;4,00;1;0;0
CPN;25;N;N;F;Soltero;0;6,32;3,43;0;0;0
CPN;24;N;N;F;Soltero;0;6,43;4,29;1;0;0
CPN;25;S;S;F;Soltero;0;5,55;3,00;0;0;0
CPN;25;N;N;F;Soltero;0;6,31;3,14;0;0;0
CPN;24;N;N;F;Soltero;0;5,9;2,57;0;0;0
LA;25;N;N;M;Soltero;0;6,4;4,43;1;0;1
CPN;25;N;S;F;Soltero;0;6,91;4,00;1;0;0
CPN;25;N;N;M;Soltero;0;6,53;3,57;0;0;0
CPN;25;S;N;F;Soltero;0;5,36;2,50;0;0;0
CPN;27;S;N;F;Soltero;0;6,39;4,50;1;0;1
CPN;24;N;N;F;Soltero;0;5,92;4,00;1;0;0
CPN;24;N;S;F;Soltero;0;6,63;3,67;0;0;0
CPN;25;N;S;F;Soltero;0;6,36;3,00;0;0;0
LA;24;S;N;M;Soltero;0;5,63;1,83;0;0;0
CPN;24;N;N;M;Soltero;0;6,48;5,67;1;0;1
LE;25;N;N;F;Soltero;0;7,04;3,17;0;1;0
LA;24;S;N;M;Soltero;0;6,59;4,33;1;0;1
CPN;24;S;N;M;Soltero;0;6,27;2,00;0;0;0
CPN;24;N;N;F;Soltero;0;8,11;5,67;1;1;1
CPN;23;N;S;F;Soltero;0;5,4;3,83;0;0;0
LA;23;N;S;F;Soltero;0;5,73;5,67;1;0;1
LA;24;N;N;F;Soltero;0;8,1;4,67;1;1;1
CPN;25;N;N;F;Soltero;0;6,22;4,17;1;0;0
LA;23;N;N;M;Soltero;0;7,9;5,00;1;1;1
CPN;24;N;S;F;Soltero;0;6,04;2,67;0;0;0
LA;23;N;N;M;Soltero;0;7,2;3,33;0;1;0
CPN;23;N;N;F;Soltero;0;7,31;5,33;1;1;1
CPN;23;S;N;F;Soltero;0;6,55;3,83;0;0;0
CPN;24;N;N;M;Soltero;0;6,48;2,67;0;0;0
CPN;24;N;N;M;Soltero;0;6,15;3,83;0;0;0
CPN;24;N;S;M;Soltero;0;6,38;3,50;0;0;0
CPN;24;N;N;M;Soltero;0;7,21;5,50;1;1;1
CPN;24;N;N;F;Soltero;0;6,32;4,83;1;0;1
LA;24;N;N;M;Soltero;3;6,28;3,50;0;0;0
LE;24;N;N;M;Soltero;0;7,3;5,33;1;1;1
LA;25;N;N;F;Soltero;0;6,77;4,17;1;0;1
CPN;25;N;N;F;Soltero;0;5,67;0,60;0;0;0
CPN;24;N;N;F;Soltero;0;7,66;5,67;1;1;1
LA;24;N;N;M;Soltero;0;6,87;4,50;1;0;1
LA;24;N;N;F;Soltero;0;7,43;5,50;1;1;1
CPN;23;S;N;M;Soltero;0;6,1;4,00;1;0;0
CPN;30;N;S;F;Soltero;0;6,47;4,33;1;0;1
CPN;30;N;S;F;Soltero;0;7,39;4,67;1;1;1
LA;23;N;N;M;Soltero;0;7,42;5,33;1;1;1
LA;24;S;N;M;Soltero;0;7;6,50;1;1;1
CPN;24;S;N;F;Soltero;0;6,46;4,50;1;0;1
CPN;23;S;N;F;Soltero;0;7,12;3,17;0;1;0
CPN;23;S;S;F;Soltero;0;8,13;4,83;1;1;1
CPN;24;N;N;F;Soltero;0;7,18;5,67;1;1;1
LA;24;N;N;F;Soltero;0;6,56;4,67;1;0;1
CPN;25;N;N;F;Soltero;0;6,38;3,33;0;0;0
CPN;24;N;N;M;Soltero;0;7,77;5,33;1;1;1
CPN;24;N;N;M;Soltero;0;7,18;5,67;1;1;1
CPN;25;N;N;F;Soltero;0;6,37;2,33;0;0;0
CPN;23;N;N;F;Soltero;0;6,76;4,50;1;0;1
CPN;24;N;N;M;Soltero;0;6,1;4,00;1;0;0
CPN;23;S;N;M;Soltero;0;5,63;3,83;0;0;0
CPN;24;S;S;F;Soltero;0;6,76;3,17;0;0;0
LA;23;N;N;F;Soltero;0;7,59;5,33;1;1;1
CPN;23;S;N;M;Soltero;0;8,14;5,83;1;1;1
CPN;25;N;N;F;Soltero;0;6,18;3,50;0;0;0
CPN;23;N;N;M;Soltero;0;6,6;4,50;1;0;1
CPN;24;N;N;F;Soltero;0;6,92;5,17;1;0;1
CPN;24;N;N;F;Soltero;0;5,54;2,00;0;0;0
CPN;23;N;N;M;Soltero;0;7,5;5,67;1;1;1
CPN;23;N;N;M;Soltero;0;6,22;3,83;0;0;0
LA;24;N;N;F;Soltero;0;7,38;5,33;1;1;1
CPN;24;N;N;F;Soltero;0;6,65;4,17;1;0;0
CPN;23;N;N;M;Soltero;0;6,82;5,17;1;0;1
CPN;24;N;N;F;Soltero;0;5,21;2,33;0;0;0
LA;24;N;N;M;Soltero;0;6,88;6,00;1;0;1
CPN;23;N;N;M;Soltero;0;5,82;3,83;0;0;0
CPN;23;N;S;F;Soltero;0;5,61;3,00;0;0;0
LA;25;N;N;F;Soltero;0;6,5;1,83;0;0;0
LA;23;N;N;F;Soltero;0;6,88;4,33;1;0;1
LA;23;S;N;F;Soltero;0;7,13;5,50;1;1;1
CPN;24;S;N;F;Soltero;0;7,66;4,67;1;1;1
CPN;23;N;N;M;Soltero;0;5,45;3,17;0;0;0
CPN;25;S;N;F;Soltero;0;5,74;3,33;0;0;0
CPN;25;N;N;F;Soltero;0;6,97;3,83;0;0;0
CPN;24;N;N;M;Soltero;0;6,19;3,00;0;0;0
LA;30;S;N;M;Soltero;0;8,58;4,67;1;1;1
