,Carrera,Edad,Trabajo,Beca,Genero,EstadoCivil,CantidadHijos,Prom_cAplazo,A/P,Desemp1R,Desemp2N,Desemp3RN
132,CPN,25,S,N,M,Soltero,0,6.97,4.571428571428571,1,0,1
133,LLO,26,S,N,M,Soltero,0,7.0,0.3333333333333333,0,1,0
134,CPN,24,N,N,F,Soltero,0,8.15,5.142857142857143,1,1,1
135,CPN,27,N,N,M,Soltero,0,6.26,4.0,1,0,0
136,CPN,26,S,N,F,Soltero,0,7.15,4.571428571428571,1,1,1
137,LA,25,N,N,F,Soltero,0,7.4,5.142857142857143,1,1,1
138,CPN,26,N,N,F,Soltero,0,6.42,3.2857142857142856,0,0,0
139,CPN,25,N,N,F,Soltero,0,5.95,3.5714285714285716,0,0,0
140,CPN,25,N,N,M,Soltero,0,6.83,5.428571428571429,1,0,1
141,CPN,24,S,S,M,Soltero,0,7.19,4.285714285714286,1,1,1
142,LA,24,S,N,M,Soltero,0,6.61,3.142857142857143,0,0,0
143,CPN,25,S,N,M,Soltero,0,7.44,5.142857142857143,1,1,1
144,CPN,25,S,N,F,Soltero,0,5.59,3.7142857142857144,0,0,0
145,CPN,24,N,N,M,Soltero,0,7.34,4.857142857142857,1,1,1
146,CPN,25,N,N,M,Soltero,0,6.16,4.428571428571429,1,0,0
147,CPN,25,N,N,M,Soltero,0,6.23,2.2857142857142856,0,0,0
148,CPN,24,N,N,M,Soltero,0,6.56,4.142857142857143,1,0,0
149,CPN,24,N,N,M,Soltero,0,5.0,1.7142857142857142,0,0,0
150,CPN,25,N,N,F,Soltero,0,6.03,3.5714285714285716,0,0,0
151,LE,25,S,S,F,Soltero,0,8.29,6.285714285714286,1,1,1
152,LA,25,S,S,F,Soltero,0,8.04,3.5714285714285716,0,1,1
153,CPN,25,N,N,M,Soltero,0,6.8,4.714285714285714,1,0,1
154,LA,24,S,N,F,Soltero,0,5.73,4.333333333333333,1,0,0
155,CPN,24,S,N,F,Soltero,0,5.96,1.8571428571428572,0,0,0
156,CPN,24,S,N,M,Soltero,0,6.38,3.142857142857143,0,0,0
157,LA,25,N,N,F,Soltero,0,6.08,3.2857142857142856,0,0,0
158,CPN,24,N,N,F,Soltero,0,7.61,3.0,0,1,0
159,CPN,25,N,N,F,Soltero,0,6.77,4.571428571428571,1,0,1
160,CPN,25,N,N,F,Soltero,0,7.0,4.714285714285714,1,1,1
161,CPN,24,S,N,F,Soltero,0,7.58,4.714285714285714,1,1,1
162,CPN,25,S,N,F,Soltero,0,6.78,3.7142857142857144,0,0,0
163,CPN,24,N,N,M,Soltero,0,6.19,3.0,0,0,0
164,CPN,24,N,N,F,Soltero,0,6.33,4.714285714285714,1,0,1
165,CPN,26,S,N,M,Soltero,0,6.46,2.7142857142857144,0,0,0
166,CPN,24,N,N,M,Soltero,0,5.69,2.857142857142857,0,0,0
167,CPN,25,S,N,M,Soltero,0,6.11,3.142857142857143,0,0,0
168,CPN,25,N,N,F,Soltero,0,7.95,5.142857142857143,1,1,1
169,CPN,25,N,N,F,Soltero,0,6.14,2.7142857142857144,0,0,0
170,CPN,47,S,N,M,Casado,0,8.16,2.4285714285714284,0,1,0
171,CPN,25,N,N,F,Soltero,0,7.17,2.5714285714285716,0,1,0
172,CPN,26,N,N,F,Soltero,0,5.96,4.0,1,0,0
173,CPN,25,N,N,F,Soltero,0,6.32,3.4285714285714284,0,0,0
174,CPN,24,N,N,F,Soltero,0,6.43,4.285714285714286,1,0,0
