ID,Carrera,Edad,AyudaFamiliar,PlanSocial,Trabajo,Beca,HsTrabSem,Genero,EstadoCivil,SituacionPadre,SituacionMadre,CantidadHijos,ViveCon,CP,Aprobadas,Reprobadas,Prom_cAplazo,Plazo, A/P ,DesempR,DesempC
207,CPN,26,S,S,N,N,0,F,1,0,0,0,3,5501,32,11,6.27,7,  4.57 ,  28.66 ,1
208,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5531,31,23,6,7,  4.43 ,  26.57 ,1
209,LA,25,N,N,S,N,3,M,1,0,0,0,3,5501,26,7,7.03,5,  5.20 ,  36.56 ,1
211,CPN,29,S,N,N,S,0,M,1,0,0,0,3,5505,21,15,5.81,7,  3.00 ,  17.43 ,0
212,CPN,27,S,N,N,N,0,F,1,0,0,0,3,5501,22,19,5.65,7,  3.14 ,  17.76 ,0
213,LA,24,S,N,N,N,0,F,1,0,0,0,3,5539,15,18,5.52,7,  2.14 ,  11.83 ,0
214,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5507,33,3,7.53,7,  4.71 ,  35.50 ,1
215,CPN,26,S,N,N,S,0,F,1,0,0,0,3,5521,22,12,6.35,7,  3.14 ,  19.96 ,0
216,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5519,35,4,7.54,7,  5.00 ,  37.70 ,1
217,LA,24,S,N,N,N,0,M,1,0,0,0,3,5505,36,6,6.95,7,  5.14 ,  35.74 ,1
219,CPN,25,S,N,S,N,2,M,1,0,0,0,3,5603,32,5,6.97,7,  4.57 ,  31.86 ,1
222,LLO,26,S,N,S,N,2,M,1,0,0,0,3,5531,1,0,7,3,  0.33 ,  2.33 ,0
223,CPN,24,S,S,N,N,0,F,1,0,0,0,3,5523,36,4,8.15,7,  5.14 ,  41.91 ,1
226,CPN,27,S,S,N,N,0,M,1,0,0,0,3,5539,28,18,6.26,7,  4.00 ,  25.04 ,1
227,CPN,26,S,N,S,N,3,F,1,0,0,0,3,5501,32,8,7.15,7,  4.57 ,  32.69 ,1
229,LA,25,S,N,N,N,0,F,1,0,0,0,3,5525,36,7,7.4,7,  5.14 ,  38.06 ,1
233,CPN,26,N,N,N,N,0,F,1,1,0,0,3,5541,23,10,6.42,7,  3.29 ,  21.09 ,0
235,CPN,25,S,N,N,N,0,F,1,0,0,0,3,5500,25,20,5.95,7,  3.57 ,  21.25 ,0
237,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5539,38,12,6.83,7,  5.43 ,  37.08 ,1
239,CPN,24,S,S,S,S,2,M,1,0,0,0,3,5609,30,5,7.19,7,  4.29 ,  30.81 ,1
240,LA,24,S,N,S,N,1,M,1,0,0,0,3,5600,22,9,6.61,7,  3.14 ,  20.77 ,0
241,CPN,25,S,N,S,N,3,M,1,0,0,0,3,5525,36,3,7.44,7,  5.14 ,  38.26 ,1
242,CPN,25,S,N,S,N,,F,1,0,0,0,5,5600,26,20,5.59,7,  3.71 ,  20.76 ,0
243,CPN,24,N,S,N,N,0,M,1,0,0,0,3,5505,34,4,7.34,7,  4.86 ,  35.65 ,1
246,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5521,31,11,6.16,7,  4.43 ,  27.28 ,1
247,CPN,25,S,N,N,N,0,M,1,0,0,0,3,5501,16,6,6.23,7,  2.29 ,  14.24 ,0
248,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5539,29,10,6.56,7,  4.14 ,  27.18 ,1
249,CPN,24,S,N,N,N,0,M,1,0,0,0,3,5600,12,25,5,7,  1.71 ,  8.57 ,0
